title,label
매콤한 음식 추천해줘,1
칼칼한 칼국수 추천해줘,1
구수한 국밥 추천해줘,5
구수한 음식 추천해줘,5
안매운 음식을 추천해줘,2
매운 음식 추천해줘,1
음식 추천해줘,5
칼칼한 음식 추천해줘,1
닭발같이 매운 음식 추천해줘,1
달달한 음식 추천해줘,2
매굽은 음식추천해줘,1
알짝지근한 음식 추천해줘,1
매그러운 음식 추천해줘,1
얼근한 음식 추천해줘,1
매운 음식 추천해줘,1
매콤한 음식 추천해줘,1
입이 얼얼한 음식 추천해줘,1
얼쩍 지근한 음식 추천해줘,1
알싸한 음식 추천해줘,1
달달한 음식 추천해줘,2
맵지 않은 음식 추천해줘,2
구수한 누룽지 같은 음식 추천해줘,5
안매운 음식을 추천해줘,2
맵지 않은 음식 추천해줘,2
안 매운 음식을 추천해줘,2
자극적인 음식 추천해줘,1
속 편한 음식 추천해줘,5
속편한음식추천해줘,5
맵지않은 음식 추천해줘,2
상큼한 음식 추천해줘,3
달짝지근한 음식 추천해줘,2
달콤한 음식 추천해줘,2
새콤 달콤한 음식 추천해줘,3
새콤달콤한 음식 추천해줘,3
신 음식 추천해줘,3
시큼한 음식 추천해줘,3
시금한 음식 추천해줘,3
시큼시큼한 음식 추천해줘,3
레몬 같이 신 음식 추천해줘,3
새콤한 음식 추천해줘,3
새큼한 음식 추천해줘,3
시큼시큼한 음식 추천해줘,3
시크무레한 음식 추천해줘,3
시그무레한 음식 추천해줘,3
상큼한 음식 추천해줘,3
느끼한 음식 추천해줘,4
치즈가 들어간 느끼한 음식 추천해줘,4
느글느글한 음식 추천해줘,4
니글니글한 음식 추천해줘,4
크리미한 음식 추천해줘,4
